Sygnatura czasowa,Jak często samodzielnie robisz zakupy spożywcze/codzienne?,W jakich sklepach najczęściej robisz codzienne zakupy? (wybierz maksymalnie 3 sklepy),Co zazwyczaj robisz z paragonem po zakupach?,Jak obecnie kontrolujesz swoje codzienne wydatki?,"Czy wiesz dokładnie, ile miesięcznie wydajesz na konkretne kategorie (np. jedzenie, chemia, rozrywka)?",Co najbardziej przeszkadza Ci w kontrolowaniu codziennych wydatków? (wybierz maksymalnie 3 opcje),Czy kiedykolwiek korzystałeś/aś z aplikacji lub narzędzia do śledzenia wydatków?,Jeśli przestałeś/aś — co było głównym powodem?,Czy w ciągu ostatnich 3 miesięcy szukałeś/aś jakiegokolwiek sposobu na lepszą kontrolę wydatków?,Gdybyś miał(a) pełny obraz swoich wydatków w jednym miejscu — co byś z tym zrobił(a)?,Jak bardzo obawiasz się o prywatność swoich danych zakupowych w aplikacji?,Jaka jest Twoja płeć?,W jakim jesteś wieku?,Jaki jest Twój obecny status zawodowy?
2026-04-10 00:24:53,Raz w tygodniu,"Biedronka, Lidl, Żabka",Wrzucam do portfela/torby i wyrzucam później,Sprawdzam konto bankowe,Mniej więcej,"Brak czasu na regularne śledzenie, Konieczność ręcznego wpisywania danych, Brak motywacji",Nie,,Nie,,"Trochę, zależy od zabezpieczeń",Mężczyzna,Poniżej 18 lat,Uczeń / student
2026-04-11 13:20:21,Raz w tygodniu,"Biedronka, Dino",Wrzucam do portfela/torby i wyrzucam później,W ogóle nie śledzę wydatków,Nie,Brak motywacji,Nie,,Nie,,Nie zastanawiałem/am się nad tym,Kobieta,Powyżej 45 lat,Pracujący
2026-04-11 13:32:37,Rzadziej niż raz w tygodniu,"Biedronka, Żabka, Dino",Trzymam przez jakiś czas,Sprawdzam konto bankowe,Mniej więcej,Gubienie paragonów,Nie,,Nie,Często kontrolowała ,"Trochę, zależy od zabezpieczeń",Kobieta,18 - 24 lata,Uczeń / student
2026-04-11 13:58:53,Raz w tygodniu,"Biedronka, Lidl, Dino",Trzymam przez jakiś czas,Sprawdzam konto bankowe,Mniej więcej,"Brak czasu na regularne śledzenie, Konieczność ręcznego wpisywania danych, Brak motywacji",Nie,,"Tak, czytałem/am artykuły",Lepiej zarządzałbym swoimi wydatkami,"Bardzo - nie chcę, aby ktoś widział moje zakupy",Mężczyzna,18 - 24 lata,Uczeń / student
2026-04-11 14:01:46,Kilka razy w tygodniu,"Biedronka, Dino",Wyrzucam od razu,Sprawdzam konto bankowe,Mniej więcej,Nie dotyczy - nie mam z tym problemu,Nie,,Nie,,Nie przeszkadza mi to,Mężczyzna,18 - 24 lata,Uczeń / student
2026-04-11 14:14:16,Kilka razy w tygodniu,"Biedronka, Carrefour, Lidl",Wrzucam do portfela/torby i wyrzucam później,Sprawdzam konto bankowe,Mniej więcej,"Brak czasu na regularne śledzenie, Brak motywacji",Nie,,"Tak, szukałem/am aplikacji","Przeanalizowałabym swoje wydatki, aby znaleźć obszary do oszczędności.",Nie przeszkadza mi to,Kobieta,18 - 24 lata,Osoba bezrobotna
2026-04-11 14:18:58,Raz w tygodniu,"Biedronka, Żabka, Delikatesy Centrum",Wrzucam do portfela/torby i wyrzucam później,Sprawdzam konto bankowe,Mniej więcej,Brak motywacji,"Tak, ale przestałem/am",,Nie,,"Trochę, zależy od zabezpieczeń",Kobieta,25 - 34 lata,Pracujący
2026-04-11 14:18:59,Codzienne lub prawie codziennie,"Biedronka, Kaufland, Lidl",Wyrzucam od razu,Liczę w pamięci,Nie,"Brak czasu na regularne śledzenie, Konieczność ręcznego wpisywania danych, Brak motywacji",Nie,,Nie,,Nie przeszkadza mi to,Kobieta,18 - 24 lata,Uczeń / student
2026-04-11 14:23:31,Rzadziej niż raz w tygodniu,"Biedronka, Lidl, Żabka",Odmawiam paragonu/biorę e-paragon,Sprawdzam konto bankowe,Nie,"Zerkam na konto, ale nie mam potrzeby skrupulatnego pilnowania ",Nie,,Nie,Jeśli by mogło to być automatyczne bez większej moje ingerencji to może bym zaoszczędziła na czyms,Nie zastanawiałem/am się nad tym,Mężczyzna,18 - 24 lata,Osoba bezrobotna
2026-04-11 14:26:13,Codzienne lub prawie codziennie,"Biedronka, Osiedlowy sklepik",Wrzucam do portfela/torby i wyrzucam później,Liczę w pamięci,Mniej więcej,Nie dotyczy - nie mam z tym problemu,Nie,,"Tak, szukałem/am aplikacji",,"Bardzo - nie chcę, aby ktoś widział moje zakupy",Kobieta,Powyżej 45 lat,Pracujący
2026-04-11 14:39:48,Kilka razy w tygodniu,"Carrefour, Lidl, Aldi",Wrzucam do portfela/torby i wyrzucam później,Zapisuję na kartce,Mniej więcej,"Brak czasu na regularne śledzenie, Konieczność ręcznego wpisywania danych, Zapominam",Nie,,Nie,Mogłabym zobaczyć na co wydaje niepotrzebnie pieniądze,Nie przeszkadza mi to,Kobieta,18 - 24 lata,Uczeń / student
2026-04-11 14:39:51,Codzienne lub prawie codziennie,"Biedronka, Auchan, GS ",Wrzucam do portfela/torby i wyrzucam później,Sprawdzam konto bankowe,Tak,Brak motywacji,Nie,,"Tak, szukałem/am aplikacji",przeanalizował ,Nie przeszkadza mi to,Mężczyzna,18 - 24 lata,Uczeń / student
2026-04-11 14:40:39,Kilka razy w tygodniu,"Biedronka, Żabka, Dino",Wyrzucam od razu,Sprawdzam konto bankowe,Mniej więcej,"Brak czasu na regularne śledzenie, Trudność w kategoryzacji wydatków",Nie,,Nie,,Nie przeszkadza mi to,Kobieta,18 - 24 lata,Uczeń / student
2026-04-11 14:48:08,Codzienne lub prawie codziennie,"Biedronka, Dino, Jakies no name",Odmawiam paragonu/biorę e-paragon,Aplikacja finansowa,Tak,Nie dotyczy - nie mam z tym problemu,"Tak, korzystam aktualnie",,Nie,,"Trochę, zależy od zabezpieczeń",Inna / Wolę nie podawać,18 - 24 lata,Pracujący student
2026-04-11 14:48:21,Kilka razy w tygodniu,"Biedronka, Lidl, Dino",Wyrzucam od razu,Sprawdzam konto bankowe,Mniej więcej,"Brak czasu na regularne śledzenie, Brak motywacji",Nie,,Nie,,Nie zastanawiałem/am się nad tym,Mężczyzna,18 - 24 lata,Uczeń / student
2026-04-11 14:55:07,Raz w tygodniu,"Biedronka, Lidl, Żabka",Wyrzucam od razu,Sprawdzam konto bankowe,Mniej więcej,"Brak czasu na regularne śledzenie, Konieczność ręcznego wpisywania danych, Brak motywacji","Tak, ale przestałem/am",Ciężkość w wpisywaniu danych w excela,"Tak, szukałem/am aplikacji",Bardziej analizował i kontrolował swoje wydatki,Nie przeszkadza mi to,Mężczyzna,18 - 24 lata,Pracujący student
2026-04-11 14:56:36,Kilka razy w tygodniu,Biedronka,Wyrzucam od razu,Sprawdzam konto bankowe,Mniej więcej,"Trudność w kategoryzacji wydatków, Brak motywacji",Nie,,Nie,,"Trochę, zależy od zabezpieczeń",Mężczyzna,18 - 24 lata,Uczeń / student
